X,Y,Z,Rotation,Data,Unit
-400.0,-40.0,-60.0,80.0,3.307,G
-380.0,-40.0,-60.0,80.0,4.022,G
-360.0,-40.0,-60.0,80.0,4.924,G
-340.0,-40.0,-60.0,80.0,6.241,G
-320.0,-40.0,-60.0,80.0,7.625,G
-300.0,-40.0,-60.0,80.0,9.239,G
-280.0,-40.0,-60.0,80.0,11.272,G
-260.0,-40.0,-60.0,80.0,14.045,G
-240.0,-40.0,-60.0,80.0,17.372,G
-220.0,-40.0,-60.0,80.0,21.937,G
-200.0,-40.0,-60.0,80.0,27.820,G
-180.0,-40.0,-60.0,80.0,35.969,G
-160.0,-40.0,-60.0,80.0,47.356,G
-140.0,-40.0,-60.0,80.0,63.926,G
-120.0,-40.0,-60.0,80.0,89.567,G
-100.0,-40.0,-60.0,80.0,128.887,G
-80.0,-40.0,-60.0,80.0,171.583,G
-60.0,-40.0,-60.0,80.0,188.451,G
-40.0,-40.0,-60.0,80.0,190.191,G
-20.0,-40.0,-60.0,80.0,190.349,G
0.0,-40.0,-60.0,80.0,190.267,G
20.0,-40.0,-60.0,80.0,190.273,G
40.0,-40.0,-60.0,80.0,190.300,G
60.0,-40.0,-60.0,80.0,188.678,G
80.0,-40.0,-60.0,80.0,174.488,G
100.0,-40.0,-60.0,80.0,133.232,G
120.0,-40.0,-60.0,80.0,92.298,G
140.0,-40.0,-60.0,80.0,65.683,G
160.0,-40.0,-60.0,80.0,48.535,G
180.0,-40.0,-60.0,80.0,36.969,G
200.0,-40.0,-60.0,80.0,28.306,G
220.0,-40.0,-60.0,80.0,22.300,G
240.0,-40.0,-60.0,80.0,17.819,G
260.0,-40.0,-60.0,80.0,14.221,G
280.0,-40.0,-60.0,80.0,11.469,G
300.0,-40.0,-60.0,80.0,9.485,G
320.0,-40.0,-60.0,80.0,7.802,G
340.0,-40.0,-60.0,80.0,6.294,G
360.0,-40.0,-60.0,80.0,5.463,G
380.0,-40.0,-60.0,80.0,4.175,G
400.0,-40.0,-60.0,80.0,3.523,G
400.0,-40.0,-40.0,80.0,3.523,G
380.0,-40.0,-40.0,80.0,4.093,G
360.0,-40.0,-40.0,80.0,5.120,G
340.0,-40.0,-40.0,80.0,6.494,G
320.0,-40.0,-40.0,80.0,7.913,G
300.0,-40.0,-40.0,80.0,9.614,G
280.0,-40.0,-40.0,80.0,11.876,G
260.0,-40.0,-40.0,80.0,14.701,G
240.0,-40.0,-40.0,80.0,18.626,G
220.0,-40.0,-40.0,80.0,23.225,G
200.0,-40.0,-40.0,80.0,29.651,G
180.0,-40.0,-40.0,80.0,38.614,G
160.0,-40.0,-40.0,80.0,50.796,G
140.0,-40.0,-40.0,80.0,68.282,G
120.0,-40.0,-40.0,80.0,94.485,G
100.0,-40.0,-40.0,80.0,131.204,G
80.0,-40.0,-40.0,80.0,165.782,G
60.0,-40.0,-40.0,80.0,179.259,G
40.0,-40.0,-40.0,80.0,181.788,G
20.0,-40.0,-40.0,80.0,182.042,G
0.0,-40.0,-40.0,80.0,182.048,G
-20.0,-40.0,-40.0,80.0,182.072,G
-40.0,-40.0,-40.0,80.0,181.921,G
-60.0,-40.0,-40.0,80.0,179.340,G
-80.0,-40.0,-40.0,80.0,164.120,G
-100.0,-40.0,-40.0,80.0,127.979,G
-120.0,-40.0,-40.0,80.0,92.145,G
-140.0,-40.0,-40.0,80.0,67.096,G
-160.0,-40.0,-40.0,80.0,50.014,G
-180.0,-40.0,-40.0,80.0,38.394,G
-200.0,-40.0,-40.0,80.0,29.718,G
-220.0,-40.0,-40.0,80.0,23.522,G
-240.0,-40.0,-40.0,80.0,18.628,G
-260.0,-40.0,-40.0,80.0,14.899,G
-280.0,-40.0,-40.0,80.0,12.023,G
-300.0,-40.0,-40.0,80.0,9.931,G
-320.0,-40.0,-40.0,80.0,8.161,G
-340.0,-40.0,-40.0,80.0,6.509,G
-360.0,-40.0,-40.0,80.0,5.625,G
-380.0,-40.0,-40.0,80.0,4.640,G
-400.0,-40.0,-40.0,80.0,3.700,G
-400.0,-40.0,-20.0,80.0,3.610,G
-380.0,-40.0,-20.0,80.0,4.159,G
-360.0,-40.0,-20.0,80.0,5.458,G
-340.0,-40.0,-20.0,80.0,6.674,G
-320.0,-40.0,-20.0,80.0,8.209,G
-300.0,-40.0,-20.0,80.0,9.886,G
-280.0,-40.0,-20.0,80.0,12.498,G
-260.0,-40.0,-20.0,80.0,15.313,G
-240.0,-40.0,-20.0,80.0,19.161,G
-220.0,-40.0,-20.0,80.0,24.071,G
-200.0,-40.0,-20.0,80.0,30.824,G
-180.0,-40.0,-20.0,80.0,39.767,G
-160.0,-40.0,-20.0,80.0,51.626,G
-140.0,-40.0,-20.0,80.0,68.765,G
-120.0,-40.0,-20.0,80.0,93.662,G
-100.0,-40.0,-20.0,80.0,127.719,G
-80.0,-40.0,-20.0,80.0,161.431,G
-60.0,-40.0,-20.0,80.0,176.290,G
-40.0,-40.0,-20.0,80.0,179.140,G
-20.0,-40.0,-20.0,80.0,179.485,G
0.0,-40.0,-20.0,80.0,179.529,G
20.0,-40.0,-20.0,80.0,179.544,G
40.0,-40.0,-20.0,80.0,179.303,G
60.0,-40.0,-20.0,80.0,176.711,G
80.0,-40.0,-20.0,80.0,163.943,G
100.0,-40.0,-20.0,80.0,130.942,G
120.0,-40.0,-20.0,80.0,95.971,G
140.0,-40.0,-20.0,80.0,70.607,G
160.0,-40.0,-20.0,80.0,52.946,G
180.0,-40.0,-20.0,80.0,40.499,G
200.0,-40.0,-20.0,80.0,31.321,G
220.0,-40.0,-20.0,80.0,24.786,G
240.0,-40.0,-20.0,80.0,19.664,G
260.0,-40.0,-20.0,80.0,15.784,G
280.0,-40.0,-20.0,80.0,12.836,G
300.0,-40.0,-20.0,80.0,10.222,G
320.0,-40.0,-20.0,80.0,8.413,G
340.0,-40.0,-20.0,80.0,6.902,G
360.0,-40.0,-20.0,80.0,5.601,G
380.0,-40.0,-20.0,80.0,4.719,G
400.0,-40.0,-20.0,80.0,3.940,G
400.0,-40.0,0.0,80.0,3.815,G
380.0,-40.0,0.0,80.0,4.540,G
360.0,-40.0,0.0,80.0,5.568,G
340.0,-40.0,0.0,80.0,6.971,G
