X,Y,Z,Rotation,Data,Unit
-400.0,-40.0,-60.0,80.0,3.279,G
0.0,-40.0,-60.0,80.0,190.286,G
400.0,-40.0,-60.0,80.0,3.648,G
400.0,-40.0,0.0,80.0,3.769,G
0.0,-40.0,0.0,80.0,179.038,G
-400.0,-40.0,0.0,80.0,3.827,G
-400.0,-40.0,60.0,80.0,3.804,G
0.0,-40.0,60.0,80.0,183.476,G
400.0,-40.0,60.0,80.0,4.191,G
400.0,0.0,60.0,80.0,4.078,G
0.0,0.0,60.0,80.0,193.294,G
-400.0,0.0,60.0,80.0,4.093,G
-400.0,0.0,0.0,80.0,3.850,G
0.0,0.0,0.0,80.0,178.622,G
400.0,0.0,0.0,80.0,4.039,G
400.0,0.0,-60.0,80.0,3.722,G
0.0,0.0,-60.0,80.0,175.930,G
-400.0,0.0,-60.0,80.0,3.573,G
-400.0,40.0,-60.0,80.0,3.269,G
0.0,40.0,-60.0,80.0,196.281,G
400.0,40.0,-60.0,80.0,3.609,G
400.0,40.0,0.0,80.0,3.657,G
0.0,40.0,0.0,80.0,180.177,G
-400.0,40.0,0.0,80.0,3.600,G
-400.0,40.0,60.0,80.0,3.545,G
0.0,40.0,60.0,80.0,183.406,G
400.0,40.0,60.0,80.0,3.919,G
400.0,-40.0,-60.0,170.0,-1.920,G
0.0,-40.0,-60.0,170.0,-5.515,G
-400.0,-40.0,-60.0,170.0,-2.109,G
-400.0,-40.0,0.0,170.0,-1.833,G
0.0,-40.0,0.0,170.0,-2.809,G
400.0,-40.0,0.0,170.0,-2.138,G
400.0,-40.0,60.0,170.0,-1.777,G
0.0,-40.0,60.0,170.0,-18.628,G
